competition_id,origin,season_id,rank_rps_difference,points_crps_difference
eng-championship,MW6,2025-2026,0.0020728512681159367,-0.01766995625000493
eng-championship,MW12,2015-2016,0.001516769746376814,-0.05850116083333331
eng-championship,MW12,2016-2017,0.0007296511503622999,-0.1274669174999993
eng-championship,MW12,2017-2018,-0.0009991029347825987,-0.1558642983333322
eng-championship,MW12,2018-2019,-0.000494661947463791,-0.09690527500000107
eng-championship,MW12,2019-2020,-1.782695652172165e-05,0.04211389333333156
eng-championship,MW12,2020-2021,0.0011654562590579674,-0.03128476083333496
eng-championship,MW12,2021-2022,-0.002458162164855062,-0.1507310729166675
eng-championship,MW12,2022-2023,-0.001034500000000027,-0.08119831208333374
eng-championship,MW12,2023-2024,9.819519021739066e-05,-0.047530739166665205
eng-championship,MW12,2024-2025,0.0010915852717391366,0.04023000708333257
eng-championship,MW12,2025-2026,0.0016695657518116227,-0.07327281291666539
eng-championship,MW19,2015-2016,0.0005434301811594083,-0.03582336083333303
eng-championship,MW19,2016-2017,0.0012584527807970962,-0.1371844783333325
eng-championship,MW19,2017-2018,6.811584239131841e-05,-0.09759144458333753
eng-championship,MW19,2018-2019,-0.00042614138586957365,-0.17565624833333357
eng-championship,MW19,2019-2020,-4.576521739131312e-05,0.09276615083333896
eng-championship,MW19,2020-2021,0.0010328856159420113,0.0405104920833376
eng-championship,MW19,2021-2022,-0.001690967536231881,-0.08911366291666589
eng-championship,MW19,2022-2023,-0.0011979654891304163,-0.12205909124999677
eng-championship,MW19,2023-2024,0.000387158405797108,-0.021707839583336202
eng-championship,MW19,2024-2025,0.0003899748731884093,0.03790754958333187
eng-championship,MW19,2025-2026,0.0024673358152174003,0.046606727083334167
eng-championship,MW30,2015-2016,0.00022380315217390007,-0.027958344999998126
eng-championship,MW30,2016-2017,-0.0007158802536231973,-0.05869565166666763
eng-championship,MW30,2017-2018,-0.00046996624999999314,-0.07714290083333662
eng-championship,MW30,2018-2019,-0.00016167474637680834,-0.06499762375000216
eng-championship,MW30,2019-2020,-0.00031604224637680843,0.012457530416665816
eng-championship,MW30,2020-2021,0.0015407067753623203,0.0528025462500006
eng-championship,MW30,2021-2022,-0.00015909420289855,-0.00036651958333284534
eng-championship,MW30,2022-2023,-0.00013133998188405403,-0.0320751808333344
eng-championship,MW30,2023-2024,-0.00022391265398550726,0.027550734583334457
eng-championship,MW30,2024-2025,1.386778985506693e-05,0.020777806666667824
eng-championship,MW30,2025-2026,-0.0009483075452898429,-0.09242315874999896
eng-league-one,preseason,2015-2016,0.00104847011775361,-0.014311993333333772
eng-league-one,preseason,2016-2017,-0.0019915101449275298,-0.12432133666666513
eng-league-one,preseason,2017-2018,-0.000471212246376788,0.045512158333334385
eng-league-one,preseason,2018-2019,-0.0011793009420289896,-0.13126826874999825
eng-league-one,preseason,2021-2022,-0.0026121398550724723,-0.310002282083334
eng-league-one,preseason,2022-2023,7.940637681161059e-05,-0.08555437708333496
eng-league-one,preseason,2023-2024,-0.0017651502355072403,-0.26251059916667024
eng-league-one,preseason,2024-2025,0.0007575733967391211,-0.0055988966666648725
eng-league-one,preseason,2025-2026,0.00317074127717394,0.15014651666666387
eng-league-one,MW6,2015-2016,0.0009006789130434938,-0.009919074166664913
eng-league-one,MW6,2016-2017,-0.0012472622101449423,-0.08717076958333268
eng-league-one,MW6,2017-2018,0.0008025196195652045,0.03594694874999704
eng-league-one,MW6,2018-2019,-0.0016386909963768247,-0.10196373541666637
eng-league-one,MW6,2021-2022,-0.0018953634692029243,-0.3651103170833374
eng-league-one,MW6,2022-2023,-1.209510869564972e-05,-0.1519014837500028
eng-league-one,MW6,2023-2024,-0.0024851040579710044,-0.28027400333333174
eng-league-one,MW6,2024-2025,-0.0011774656159420254,-0.2138749858333381
eng-league-one,MW6,2025-2026,0.0006933223188405695,0.0010497591666646655
eng-league-one,MW12,2015-2016,0.0004356707246376574,-0.07176903333333211
eng-league-one,MW12,2016-2017,-0.0020579377626811553,-0.1641852783333316
eng-league-one,MW12,2017-2018,0.00048752065217389515,0.05582922791666789
eng-league-one,MW12,2018-2019,-0.0007576758605072276,-0.029880591249997774
eng-league-one,MW12,2021-2022,-0.0005159581159420367,-0.3226985408333303
eng-league-one,MW12,2022-2023,-0.00015058058876812018,-0.21857179374999955
eng-league-one,MW12,2023-2024,0.0011377123460145026,-0.06587940708333377
eng-league-one,MW12,2024-2025,-0.000790198804347845,-0.11990253499999957
eng-league-one,MW12,2025-2026,0.00036396688405797496,-0.03714917583333194
eng-league-one,MW19,2015-2016,0.0004452982699275218,-0.07218131708333199
eng-league-one,MW19,2016-2017,-0.0005309966213768253,-0.09728583916666733
eng-league-one,MW19,2017-2018,-0.0003607398188405825,-0.035627570416667066
eng-league-one,MW19,2018-2019,-0.001741228559782619,-0.09355679416666561
eng-league-one,MW19,2021-2022,-0.0005462755072463753,-0.30652348916666416
eng-league-one,MW19,2022-2023,-0.0005770454257246247,-0.17611538916666605
eng-league-one,MW19,2023-2024,-0.00020938648550724963,-0.038573030000003165
eng-league-one,MW19,2024-2025,-0.00039120951086956275,-0.06098465500000142
