season_id,mean,std,competition_id,candidate
2022-2023,0.030251902790137376,0.19710122226663665,eng-premier-league,level-s0.08-form-s0.10
2023-2024,0.02232901771031618,0.20911188663932928,eng-premier-league,level-s0.08-form-s0.10
2024-2025,0.04511670214308925,0.20040230795626918,eng-premier-league,level-s0.08-form-s0.10
2025-2026,0.03975447439594752,0.15500037316025153,eng-premier-league,level-s0.08-form-s0.10
2026-2027,0.026539563625137243,0.14821473511315283,eng-premier-league,level-s0.08-form-s0.10
2011-2012,0.01746444149087063,0.1736555955423557,eng-premier-league,r0.85-s0.06
2012-2013,0.028601505141473648,0.16728355680250623,eng-premier-league,r0.85-s0.06
2013-2014,0.03758522220270614,0.1808692659770176,eng-premier-league,r0.85-s0.06
2014-2015,0.03288970014614081,0.158453144138123,eng-premier-league,r0.85-s0.06
2015-2016,0.026292863104346864,0.1528382645028771,eng-premier-league,r0.85-s0.06
2016-2017,0.0240041323263389,0.183266752485144,eng-premier-league,r0.85-s0.06
2017-2018,0.023222639195020343,0.1960067572276263,eng-premier-league,r0.85-s0.06
2018-2019,0.015137617155632036,0.20415132533003957,eng-premier-league,r0.85-s0.06
2019-2020,0.017798833488918236,0.1859419685141958,eng-premier-league,r0.85-s0.06
2020-2021,0.005491694882304913,0.17790700072178456,eng-premier-league,r0.85-s0.06
2021-2022,0.006345972698747813,0.2050502531355501,eng-premier-league,r0.85-s0.06
2022-2023,0.014432121526330527,0.1727292386842171,eng-premier-league,r0.85-s0.06
2023-2024,0.0017900780931213848,0.18076137917274937,eng-premier-league,r0.85-s0.06
2024-2025,0.008400744345043124,0.17937059573765873,eng-premier-league,r0.85-s0.06
2025-2026,0.01656448147715226,0.14062542748418377,eng-premier-league,r0.85-s0.06
2026-2027,0.010295001711075375,0.1390127115037719,eng-premier-league,r0.85-s0.06
2011-2012,0.019169721794885526,0.18454706988108077,eng-premier-league,r0.85-s0.09
2012-2013,0.03469302592194203,0.18010069772107595,eng-premier-league,r0.85-s0.09
2013-2014,0.044440932253589485,0.2046565198964928,eng-premier-league,r0.85-s0.09
2014-2015,0.04102466625437009,0.16575637063258034,eng-premier-league,r0.85-s0.09
2015-2016,0.031871375487808724,0.16656002118748706,eng-premier-league,r0.85-s0.09
2016-2017,0.03419322648216774,0.199144011097447,eng-premier-league,r0.85-s0.09
2017-2018,0.03089276911134197,0.20983667090738845,eng-premier-league,r0.85-s0.09
2018-2019,0.0203651890727009,0.2176404240920013,eng-premier-league,r0.85-s0.09
