residual,test_season,training_seasons,terms,matches,explained_share,corr
resid_m2,2024-2025,1,venue + scale,380,0.0060873,0.035255
resid_m2,2024-2025,1,venue + clubs,380,-0.078143,0.27024
resid_m2,2024-2025,1,venue + scale + clubs,380,-0.081654,0.25812
resid_m2,2024-2025,2,venue + scale,380,0.030867,0.035255
resid_m2,2024-2025,2,venue + clubs,380,0.058814,0.35494
resid_m2,2024-2025,2,venue + scale + clubs,380,-0.014093,0.26822
resid_m2,2024-2025,3,venue + scale,380,0.047575,0.035255
resid_m2,2024-2025,3,venue + clubs,380,0.18659,0.43923
resid_m2,2024-2025,3,venue + scale + clubs,380,0.14513,0.39454
resid_m2,2024-2025,8,venue + scale,380,-0.0049734,0.035255
resid_m2,2024-2025,8,venue + clubs,380,0.19533,0.44595
resid_m2,2024-2025,8,venue + scale + clubs,380,-0.15056,0.24385
resid_m2,2025-2026,1,venue + scale,380,0.06432,0.20236
resid_m2,2025-2026,1,venue + clubs,380,-0.02169,0.21475
resid_m2,2025-2026,1,venue + scale + clubs,380,-0.0080426,0.22149
resid_m2,2025-2026,2,venue + scale,380,0.059697,0.20236
resid_m2,2025-2026,2,venue + clubs,380,0.057367,0.28171
resid_m2,2025-2026,2,venue + scale + clubs,380,0.13927,0.35047
resid_m2,2025-2026,3,venue + scale,380,0.061618,0.20236
resid_m2,2025-2026,3,venue + clubs,380,0.17023,0.37988
resid_m2,2025-2026,3,venue + scale + clubs,380,0.25731,0.47056
resid_m2,2025-2026,9,venue + scale,380,0.053415,0.20236
resid_m2,2025-2026,9,venue + clubs,380,0.42091,0.64706
resid_m2,2025-2026,9,venue + scale + clubs,380,0.46947,0.68153
resid_m2,2026-2027,1,venue + scale,40,-0.029988,0.0062186
resid_m2,2026-2027,1,venue + clubs,40,0.21249,0.48112
resid_m2,2026-2027,1,venue + scale + clubs,40,0.28228,0.56652
resid_m2,2026-2027,2,venue + scale,40,-0.017173,0.0062186
resid_m2,2026-2027,2,venue + clubs,40,0.16166,0.42041
resid_m2,2026-2027,2,venue + scale + clubs,40,0.25486,0.54192
resid_m2,2026-2027,3,venue + scale,40,-0.007743,0.0062186
resid_m2,2026-2027,3,venue + clubs,40,0.16709,0.41622
resid_m2,2026-2027,3,venue + scale + clubs,40,0.29745,0.58348
resid_m2,2026-2027,10,venue + scale,40,-0.0051554,0.0062186
resid_m2,2026-2027,10,venue + clubs,40,0.19155,0.44312
resid_m2,2026-2027,10,venue + scale + clubs,40,0.41692,0.68484
