comparison,period,scope,matches,log_loss,log_loss_low,log_loss_high,score_nll,score_nll_low,score_nll_high,brier
S1 minus M10,2026/27,EFL club match 6-10,45,0.001629,,,0.005887,,,0.001228
S1 minus M10,2026/27,"Entrant matches, club match 1-5",96,0.000679,,,0.004727,,,0.000445
S1 minus M10,2026/27,"Entrant matches, club match 1-10",115,0.000891,,,0.004711,,,0.000576
S2 minus M10,test,All,22132,0.000002,-0.000151,0.000160,0.000014,-0.000170,0.000214,0.000004
S2 minus M10,test,PL,4180,0.000101,-0.000213,0.000399,0.000027,-0.000352,0.000414,0.000109
S2 minus M10,test,Ch,6072,-0.000114,-0.000353,0.000126,-0.000017,-0.000276,0.000247,-0.000089
S2 minus M10,test,L1,5920,0.000051,-0.000169,0.000286,0.000012,-0.000258,0.000299,0.000034
S2 minus M10,test,L2,5960,0.000003,-0.000293,0.000320,0.000039,-0.000292,0.000420,-0.000003
S2 minus M10,test,EFL,17952,-0.000021,-0.000175,0.000154,0.000011,-0.000173,0.000226,-0.000020
S2 minus M10,test,Entrant matches,9189,0.000098,-0.000087,0.000279,0.000093,-0.000119,0.000317,0.000078
S2 minus M10,test,Continuing matches,12943,-0.000065,-0.000283,0.000165,-0.000042,-0.000302,0.000247,-0.000048
S2 minus M10,test,Club match 1-5,2554,-0.000384,-0.000726,0.000008,-0.000164,-0.000627,0.000354,-0.000303
S2 minus M10,test,PL club match 1-5,553,-0.000388,-0.001361,0.000536,0.000087,-0.001030,0.001199,-0.000286
S2 minus M10,test,EFL club match 1-5,2001,-0.000383,-0.000615,-0.000088,-0.000233,-0.000565,0.000132,-0.000307
S2 minus M10,test,Club match 6-10,2555,0.000313,-0.000235,0.000873,0.000589,-0.000149,0.001352,0.000208
S2 minus M10,test,PL club match 6-10,552,0.000393,-0.000296,0.001042,0.000588,-0.000360,0.001485,0.000296
S2 minus M10,test,EFL club match 6-10,2003,0.000292,-0.000249,0.000801,0.000589,-0.000168,0.001248,0.000183
S2 minus M10,test,Club match 11-20,5099,-0.000073,-0.000296,0.000188,-0.000108,-0.000358,0.000175,-0.000031
S2 minus M10,test,PL club match 11-20,1112,-0.000051,-0.000454,0.000366,-0.000227,-0.000651,0.000164,0.000057
S2 minus M10,test,EFL club match 11-20,3987,-0.000079,-0.000359,0.000225,-0.000075,-0.000374,0.000237,-0.000055
S2 minus M10,test,Club match 21-99,11924,0.000051,-0.000106,0.000211,-0.000019,-0.000213,0.000181,0.000042
S2 minus M10,test,PL club match 21-99,1963,0.000244,-0.000096,0.000609,-0.000004,-0.000397,0.000428,0.000198
S2 minus M10,test,EFL club match 21-99,9961,0.000013,-0.000168,0.000194,-0.000021,-0.000239,0.000203,0.000011
S2 minus M10,test,"Entrant matches, club match 1-5",1067,-0.000050,-0.000388,0.000385,0.000276,-0.000111,0.000773,-0.000064
S2 minus M10,test,"Entrant matches, club match 1-10",2096,0.000163,-0.000183,0.000517,0.000354,-0.000020,0.000743,0.000108
S2 minus M10,2026/27,All,266,-0.000116,,,0.000834,,,-0.000137
S2 minus M10,2026/27,PL,40,-0.001531,,,-0.000236,,,-0.000918
S2 minus M10,2026/27,Ch,83,0.000391,,,0.001214,,,0.000212
S2 minus M10,2026/27,L1,71,0.000617,,,0.001922,,,0.000407
S2 minus M10,2026/27,L2,72,-0.000637,,,-0.000083,,,-0.000643
S2 minus M10,2026/27,EFL,226,0.000135,,,0.001023,,,0.000001
S2 minus M10,2026/27,Entrant matches,115,-0.000384,,,0.000294,,,-0.000321
S2 minus M10,2026/27,Continuing matches,151,0.000088,,,0.001245,,,0.000003
S2 minus M10,2026/27,Club match 1-5,221,-0.000106,,,0.000780,,,-0.000139
S2 minus M10,2026/27,PL club match 1-5,40,-0.001531,,,-0.000236,,,-0.000918
S2 minus M10,2026/27,EFL club match 1-5,181,0.000208,,,0.001004,,,0.000033
S2 minus M10,2026/27,Club match 6-10,45,-0.000163,,,0.001098,,,-0.000127
S2 minus M10,2026/27,EFL club match 6-10,45,-0.000163,,,0.001098,,,-0.000127
S2 minus M10,2026/27,"Entrant matches, club match 1-5",96,-0.000648,,,0.000045,,,-0.000519
S2 minus M10,2026/27,"Entrant matches, club match 1-10",115,-0.000384,,,0.000294,,,-0.000321
