competition_id,season_id,d_log_loss,d_score_nll,comparison
eng-premier-league,2025-2026,0.000986,0.002514,S1 minus M10
eng-championship,2015-2016,-0.000269,-0.000119,S2 minus M10
eng-championship,2016-2017,-0.000751,-0.000570,S2 minus M10
eng-championship,2017-2018,0.000171,-0.000141,S2 minus M10
eng-championship,2018-2019,-0.000342,-0.000518,S2 minus M10
eng-championship,2019-2020,-0.000074,0.000643,S2 minus M10
eng-championship,2020-2021,0.000620,0.000817,S2 minus M10
eng-championship,2021-2022,-0.000553,-0.000310,S2 minus M10
eng-championship,2022-2023,0.000135,0.000471,S2 minus M10
eng-championship,2023-2024,0.000231,0.000042,S2 minus M10
eng-championship,2024-2025,0.000137,0.000160,S2 minus M10
eng-championship,2025-2026,-0.000559,-0.000663,S2 minus M10
eng-league-one,2015-2016,0.000134,0.000091,S2 minus M10
eng-league-one,2016-2017,0.000536,0.000375,S2 minus M10
eng-league-one,2017-2018,-0.000144,-0.000246,S2 minus M10
eng-league-one,2018-2019,-0.000004,-0.000015,S2 minus M10
eng-league-one,2019-2020,-0.000269,-0.000452,S2 minus M10
eng-league-one,2020-2021,0.001145,0.001044,S2 minus M10
eng-league-one,2021-2022,-0.001486,-0.001507,S2 minus M10
eng-league-one,2022-2023,-0.000398,-0.000126,S2 minus M10
eng-league-one,2023-2024,0.000126,0.000160,S2 minus M10
eng-league-one,2024-2025,0.000753,0.000749,S2 minus M10
eng-league-one,2025-2026,0.000078,-0.000065,S2 minus M10
eng-league-two,2015-2016,-0.000575,-0.000505,S2 minus M10
eng-league-two,2016-2017,0.000103,0.000573,S2 minus M10
eng-league-two,2017-2018,-0.000335,-0.000620,S2 minus M10
eng-league-two,2018-2019,-0.000178,-0.000365,S2 minus M10
eng-league-two,2019-2020,-0.000588,-0.000482,S2 minus M10
eng-league-two,2020-2021,0.000602,0.001087,S2 minus M10
eng-league-two,2021-2022,0.000453,0.000111,S2 minus M10
eng-league-two,2022-2023,-0.000307,-0.000109,S2 minus M10
eng-league-two,2023-2024,0.000015,0.000145,S2 minus M10
eng-league-two,2024-2025,0.000262,0.000122,S2 minus M10
eng-league-two,2025-2026,0.000466,0.000367,S2 minus M10
eng-premier-league,2015-2016,0.000359,0.000580,S2 minus M10
eng-premier-league,2016-2017,-0.001287,-0.001041,S2 minus M10
eng-premier-league,2017-2018,-0.000640,-0.000756,S2 minus M10
eng-premier-league,2018-2019,-0.000678,-0.000217,S2 minus M10
eng-premier-league,2019-2020,0.000773,0.000397,S2 minus M10
eng-premier-league,2020-2021,0.000474,0.000043,S2 minus M10
eng-premier-league,2021-2022,0.000777,-0.000031,S2 minus M10
eng-premier-league,2022-2023,0.000534,0.000499,S2 minus M10
eng-premier-league,2023-2024,-0.000086,0.000284,S2 minus M10
eng-premier-league,2024-2025,0.000858,0.000686,S2 minus M10
eng-premier-league,2025-2026,0.000034,-0.000147,S2 minus M10
